season,match_date,home_team,away_team,competition,venue,home_score,away_score
1994-1995,Saturday 17 September 1994,Man Utd,Liverpool,Premier League,"Old Trafford, Manchester",2,0
1994-1995,Saturday 17 September 1994,Sheffield Wed,Man City,Premier League,"Hillsborough, Sheffield",1,1
1994-1995,Saturday 17 September 1994,Southampton,Nott'm Forest,Premier League,"The Dell, Southampton",1,1
1994-1995,Saturday 17 September 1994,West Ham,Aston Villa,Premier League,"Boleyn Ground, London",1,0
1994-1995,Monday 12 September 1994,Spurs,Southampton,Premier League,"White Hart Lane, London",1,2
1994-1995,Sunday 11 September 1994,Leeds,Man Utd,Premier League,"Elland Road, Leeds",2,1
1994-1995,Saturday 10 September 1994,Aston Villa,Ipswich,Premier League,"Villa Park, Birmingham",2,0
1994-1995,Saturday 10 September 1994,Blackburn,Everton,Premier League,"Ewood Park, Blackburn",3,0
1994-1995,Saturday 10 September 1994,Liverpool,West Ham,Premier League,"Anfield, Liverpool",0,0
1994-1995,Saturday 10 September 1994,Man City,Crystal Palace,Premier League,"Maine Road, Manchester",1,1
1994-1995,Saturday 10 September 1994,Newcastle,Chelsea,Premier League,"St. James' Park, Newcastle",4,2
1994-1995,Saturday 10 September 1994,Norwich,Arsenal,Premier League,"Carrow Road, Norwich",0,0
1994-1995,Saturday 10 September 1994,Nott'm Forest,Sheffield Wed,Premier League,"City Ground, Nottingham",4,1
1994-1995,Saturday 10 September 1994,QPR,Coventry,Premier League,"Loftus Road, London",2,2
1994-1995,Saturday 10 September 1994,Wimbledon,Leicester,Premier League,"Selhurst Park, London",2,1
1994-1995,Wednesday 31 August 1994,Man Utd,Wimbledon,Premier League,"Old Trafford, Manchester",3,0
1994-1995,Wednesday 31 August 1994,Southampton,Liverpool,Premier League,"The Dell, Southampton",0,2
1994-1995,Wednesday 31 August 1994,Arsenal,Blackburn,Premier League,"Highbury, London",0,0
1994-1995,Wednesday 31 August 1994,Chelsea,Man City,Premier League,"Stamford Bridge, London",3,0
1994-1995,Wednesday 31 August 1994,Leicester,QPR,Premier League,"Filbert Street, Leicester",1,1
1994-1995,Wednesday 31 August 1994,Sheffield Wed,Norwich,Premier League,"Hillsborough, Sheffield",0,0
1994-1995,Wednesday 31 August 1994,West Ham,Newcastle,Premier League,"Boleyn Ground, London",1,3
1994-1995,Tuesday 30 August 1994,Everton,Nott'm Forest,Premier League,"Goodison Park, Liverpool",1,2
1994-1995,Tuesday 30 August 1994,Crystal Palace,Leeds,Premier League,"Selhurst Park, London",1,2
1994-1995,Tuesday 30 August 1994,Ipswich,Spurs,Premier League,"Portman Road, Ipswich",1,3
1994-1995,Monday 29 August 1994,Coventry,Aston Villa,Premier League,"Highfield Road, Coventry",0,1
1994-1995,Sunday 28 August 1994,Liverpool,Arsenal,Premier League,"Anfield, Liverpool",3,0
1994-1995,Saturday 27 August 1994,Aston Villa,Crystal Palace,Premier League,"Villa Park, Birmingham",1,1
1994-1995,Saturday 27 August 1994,Blackburn,Coventry,Premier League,"Ewood Park, Blackburn",4,0
1994-1995,Saturday 27 August 1994,Leeds,Chelsea,Premier League,"Elland Road, Leeds",2,3
1994-1995,Saturday 27 August 1994,Man City,Everton,Premier League,"Maine Road, Manchester",4,0
1994-1995,Saturday 27 August 1994,Newcastle,Southampton,Premier League,"St. James' Park, Newcastle",5,1
1994-1995,Saturday 27 August 1994,Norwich,West Ham,Premier League,"Carrow Road, Norwich",1,0
1994-1995,Saturday 27 August 1994,Nott'm Forest,Leicester,Premier League,"City Ground, Nottingham",1,0
1994-1995,Saturday 27 August 1994,QPR,Ipswich,Premier League,"Loftus Road, London",1,2
1994-1995,Saturday 27 August 1994,Spurs,Man Utd,Premier League,"White Hart Lane, London",0,1
1994-1995,Saturday 27 August 1994,Wimbledon,Sheffield Wed,Premier League,"Selhurst Park, London",0,1
1994-1995,Wednesday 24 August 1994,Aston Villa,Southampton,Premier League,"Villa Park, Birmingham",1,1
1994-1995,Wednesday 24 August 1994,Man City,West Ham,Premier League,"Maine Road, Manchester",3,0
1994-1995,Wednesday 24 August 1994,Newcastle,Coventry,Premier League,"St. James' Park, Newcastle",4,0
1994-1995,Wednesday 24 August 1994,Norwich,Crystal Palace,Premier League,"Carrow Road, Norwich",0,0
1994-1995,Wednesday 24 August 1994,QPR,Sheffield Wed,Premier League,"Loftus Road, London",3,2
1994-1995,Wednesday 24 August 1994,Spurs,Everton,Premier League,"White Hart Lane, London",2,1
1994-1995,Tuesday 23 August 1994,Blackburn,Leicester,Premier League,"Ewood Park, Blackburn",3,0
1994-1995,Tuesday 23 August 1994,Leeds,Arsenal,Premier League,"Elland Road, Leeds",1,0
1994-1995,Tuesday 23 August 1994,Wimbledon,Ipswich,Premier League,"Selhurst Park, London",1,1
1994-1995,Monday 22 August 1994,Nott'm Forest,Man Utd,Premier League,"City Ground, Nottingham",1,1
1994-1995,Sunday 21 August 1994,Leicester,Newcastle,Premier League,"Filbert Street, Leicester",1,3
1994-1995,Saturday 20 August 1994,Arsenal,Man City,Premier League,"Highbury, London",3,0
1994-1995,Saturday 20 August 1994,Chelsea,Norwich,Premier League,"Stamford Bridge, London",2,0
1994-1995,Saturday 20 August 1994,Coventry,Wimbledon,Premier League,"Highfield Road, Coventry",1,1
1994-1995,Saturday 20 August 1994,Crystal Palace,Liverpool,Premier League,"Selhurst Park, London",1,6
1994-1995,Saturday 20 August 1994,Everton,Aston Villa,Premier League,"Goodison Park, Liverpool",2,2
1994-1995,Saturday 20 August 1994,Ipswich,Nott'm Forest,Premier League,"Portman Road, Ipswich",0,1
1994-1995,Saturday 20 August 1994,Man Utd,QPR,Premier League,"Old Trafford, Manchester",2,0
1994-1995,Saturday 20 August 1994,Sheffield Wed,Spurs,Premier League,"Hillsborough, Sheffield",3,4
1994-1995,Saturday 20 August 1994,Southampton,Blackburn,Premier League,"The Dell, Southampton",1,1
1994-1995,Saturday 20 August 1994,West Ham,Leeds,Premier League,"Boleyn Ground, London",0,0
1995-1996,Sunday 5 May 1996,Arsenal,Bolton,Premier League,"Highbury, London",2,1
1995-1996,Sunday 5 May 1996,Chelsea,Blackburn,Premier League,"Stamford Bridge, London",2,3
1995-1996,Sunday 5 May 1996,Coventry,Leeds,Premier League,"Highfield Road, Coventry",0,0
1995-1996,Sunday 5 May 1996,Everton,Aston Villa,Premier League,"Goodison Park, Liverpool",1,0
1995-1996,Sunday 5 May 1996,Man City,Liverpool,Premier League,"Maine Road, Manchester",2,2
1995-1996,Sunday 5 May 1996,Middlesbrough,Man Utd,Premier League,"Riverside Stadium, Middlesbrough",0,3
1995-1996,Sunday 5 May 1996,Newcastle,Spurs,Premier League,"St. James' Park, Newcastle",1,1
1995-1996,Sunday 5 May 1996,Nott'm Forest,QPR,Premier League,"City Ground, Nottingham",3,0
1995-1996,Sunday 5 May 1996,Southampton,Wimbledon,Premier League,"The Dell, Southampton",0,0
1995-1996,Sunday 5 May 1996,West Ham,Sheffield Wed,Premier League,"Boleyn Ground, London",1,1
1995-1996,Thursday 2 May 1996,Leeds,Spurs,Premier League,"Elland Road, Leeds",1,3
1995-1996,Thursday 2 May 1996,Nott'm Forest,Newcastle,Premier League,"City Ground, Nottingham",1,1
1995-1996,Wednesday 1 May 1996,Arsenal,Liverpool,Premier League,"Highbury, London",0,0
1995-1996,Monday 29 April 1996,Leeds,Newcastle,Premier League,"Elland Road, Leeds",0,1
1995-1996,Sunday 28 April 1996,Man Utd,Nott'm Forest,Premier League,"Old Trafford, Manchester",5,0
1995-1996,Saturday 27 April 1996,Aston Villa,Man City,Premier League,"Villa Park, Birmingham",0,1
1995-1996,Saturday 27 April 1996,Blackburn,Arsenal,Premier League,"Ewood Park, Blackburn",1,1
1995-1996,Saturday 27 April 1996,Bolton,Southampton,Premier League,"Burnden Park, Bolton",0,1
1995-1996,Saturday 27 April 1996,Liverpool,Middlesbrough,Premier League,"Anfield, Liverpool",1,0
1995-1996,Saturday 27 April 1996,QPR,West Ham,Premier League,"Loftus Road, London",3,0
1995-1996,Saturday 27 April 1996,Sheffield Wed,Everton,Premier League,"Hillsborough, Sheffield",2,5
1995-1996,Saturday 27 April 1996,Spurs,Chelsea,Premier League,"White Hart Lane, London",1,1
1995-1996,Saturday 27 April 1996,Wimbledon,Coventry,Premier League,"Selhurst Park, London",0,2
1995-1996,Wednesday 17 April 1996,Aston Villa,West Ham,Premier League,"Villa Park, Birmingham",1,1
1995-1996,Wednesday 17 April 1996,Blackburn,Wimbledon,Premier League,"Ewood Park, Blackburn",3,2
1995-1996,Wednesday 17 April 1996,Newcastle,Southampton,Premier League,"St. James' Park, Newcastle",1,0
1995-1996,Wednesday 17 April 1996,Nott'm Forest,Coventry,Premier League,"City Ground, Nottingham",0,0
1995-1996,Wednesday 17 April 1996,Sheffield Wed,Chelsea,Premier League,"Hillsborough, Sheffield",0,0
1995-1996,Wednesday 17 April 1996,Man Utd,Leeds,Premier League,"Old Trafford, Manchester",1,0
1995-1996,Tuesday 16 April 1996,Everton,Liverpool,Premier League,"Goodison Park, Liverpool",1,1
1995-1996,Monday 15 April 1996,Arsenal,Spurs,Premier League,"Highbury, London",0,0
1995-1996,Sunday 14 April 1996,Newcastle,Aston Villa,Premier League,"St. James' Park, Newcastle",1,0
1995-1996,Saturday 13 April 1996,Chelsea,Leeds,Premier League,"Stamford Bridge, London",4,1
1995-1996,Saturday 13 April 1996,Coventry,QPR,Premier League,"Highfield Road, Coventry",1,0
1995-1996,Saturday 13 April 1996,Man City,Sheffield Wed,Premier League,"Maine Road, Manchester",1,0
1995-1996,Saturday 13 April 1996,Middlesbrough,Wimbledon,Premier League,"Riverside Stadium, Middlesbrough",1,2
1995-1996,Saturday 13 April 1996,Nott'm Forest,Blackburn,Premier League,"City Ground, Nottingham",1,5
1995-1996,Saturday 13 April 1996,Southampton,Man Utd,Premier League,"The Dell, Southampton",3,1
1995-1996,Saturday 13 April 1996,West Ham,Bolton,Premier League,"Boleyn Ground, London",1,0
1995-1996,Monday 8 April 1996,Blackburn,Newcastle,Premier League,"Ewood Park, Blackburn",2,1
1995-1996,Monday 8 April 1996,Aston Villa,Southampton,Premier League,"Villa Park, Birmingham",3,0
1995-1996,Monday 8 April 1996,Bolton,Chelsea,Premier League,"Burnden Park, Bolton",2,1
1995-1996,Monday 8 April 1996,Leeds,Nott'm Forest,Premier League,"Elland Road, Leeds",1,3
1995-1996,Monday 8 April 1996,Liverpool,West Ham,Premier League,"Anfield, Liverpool",2,0
1995-1996,Monday 8 April 1996,Man Utd,Coventry,Premier League,"Old Trafford, Manchester",1,0
1995-1996,Monday 8 April 1996,QPR,Everton,Premier League,"Loftus Road, London",3,1
1995-1996,Monday 8 April 1996,Sheffield Wed,Arsenal,Premier League,"Hillsborough, Sheffield",1,0
1995-1996,Monday 8 April 1996,Spurs,Middlesbrough,Premier League,"White Hart Lane, London",1,1
1995-1996,Monday 8 April 1996,Wimbledon,Man City,Premier League,"Selhurst Park, London",3,0
1995-1996,Saturday 6 April 1996,Arsenal,Leeds,Premier League,"Highbury, London",2,1
1995-1996,Saturday 6 April 1996,Chelsea,Aston Villa,Premier League,"Stamford Bridge, London",1,2
1995-1996,Saturday 6 April 1996,Coventry,Liverpool,Premier League,"Highfield Road, Coventry",1,0
1995-1996,Saturday 6 April 1996,Everton,Bolton,Premier League,"Goodison Park, Liverpool",3,0
1995-1996,Saturday 6 April 1996,Man City,Man Utd,Premier League,"Maine Road, Manchester",2,3
1995-1996,Saturday 6 April 1996,Newcastle,QPR,Premier League,"St. James' Park, Newcastle",2,1
1995-1996,Saturday 6 April 1996,Nott'm Forest,Spurs,Premier League,"City Ground, Nottingham",2,1
1995-1996,Saturday 6 April 1996,Southampton,Blackburn,Premier League,"The Dell, Southampton",1,0
1995-1996,Saturday 6 April 1996,West Ham,Wimbledon,Premier League,"Boleyn Ground, London",1,1
1995-1996,Friday 5 April 1996,Middlesbrough,Sheffield Wed,Premier League,"Riverside Stadium, Middlesbrough",3,1
1995-1996,Wednesday 3 April 1996,Liverpool,Newcastle,Premier League,"Anfield, Liverpool",4,3
1995-1996,Wednesday 3 April 1996,Leeds,Southampton,Premier League,"Elland Road, Leeds",1,0
1995-1996,Saturday 30 March 1996,Blackburn,Everton,Premier League,"Ewood Park, Blackburn",0,3
1995-1996,Saturday 30 March 1996,Bolton,Man City,Premier League,"Burnden Park, Bolton",1,1
1995-1996,Saturday 30 March 1996,Leeds,Middlesbrough,Premier League,"Elland Road, Leeds",0,1
1995-1996,Saturday 30 March 1996,QPR,Southampton,Premier League,"Loftus Road, London",3,0
1995-1996,Saturday 30 March 1996,Spurs,Coventry,Premier League,"White Hart Lane, London",3,1
1995-1996,Saturday 30 March 1996,Wimbledon,Nott'm Forest,Premier League,"Selhurst Park, London",1,0
1995-1996,Monday 25 March 1996,Southampton,Coventry,Premier League,"The Dell, Southampton",1,0
1995-1996,Sunday 24 March 1996,Man Utd,Spurs,Premier League,"Old Trafford, Manchester",1,0
1995-1996,Saturday 23 March 1996,Arsenal,Newcastle,Premier League,"Highbury, London",2,0
1995-1996,Saturday 23 March 1996,Bolton,Sheffield Wed,Premier League,"Burnden Park, Bolton",2,1
1995-1996,Saturday 23 March 1996,Chelsea,QPR,Premier League,"Stamford Bridge, London",1,1
1995-1996,Saturday 23 March 1996,Everton,Wimbledon,Premier League,"Goodison Park, Liverpool",2,4
1995-1996,Saturday 23 March 1996,Nott'm Forest,Liverpool,Premier League,"City Ground, Nottingham",1,0
1995-1996,Saturday 23 March 1996,West Ham,Man City,Premier League,"Boleyn Ground, London",4,2
1995-1996,Wednesday 20 March 1996,Southampton,Sheffield Wed,Premier League,"The Dell, Southampton",0,1
1995-1996,Wednesday 20 March 1996,Bolton,Spurs,Premier League,"Burnden Park, Bolton",2,3
1995-1996,Wednesday 20 March 1996,Man Utd,Arsenal,Premier League,"Old Trafford, Manchester",1,0
1995-1996,Tuesday 19 March 1996,Aston Villa,Middlesbrough,Premier League,"Villa Park, Birmingham",0,0
1995-1996,Monday 18 March 1996,Newcastle,West Ham,Premier League,"St. James' Park, Newcastle",3,0
1995-1996,Sunday 17 March 1996,Leeds,Everton,Premier League,"Elland Road, Leeds",2,2
1995-1996,Saturday 16 March 1996,Coventry,Bolton,Premier League,"Highfield Road, Coventry",0,2
1995-1996,Saturday 16 March 1996,Liverpool,Chelsea,Premier League,"Anfield, Liverpool",2,0
1995-1996,Saturday 16 March 1996,Man City,Southampton,Premier League,"Maine Road, Manchester",2,1
1995-1996,Saturday 16 March 1996,Middlesbrough,Nott'm Forest,Premier League,"Riverside Stadium, Middlesbrough",1,1
1995-1996,Saturday 16 March 1996,QPR,Man Utd,Premier League,"Loftus Road, London",1,1
1995-1996,Saturday 16 March 1996,Sheffield Wed,Aston Villa,Premier League,"Hillsborough, Sheffield",2,0
1995-1996,Saturday 16 March 1996,Spurs,Blackburn,Premier League,"White Hart Lane, London",2,3
1995-1996,Saturday 16 March 1996,Wimbledon,Arsenal,Premier League,"Selhurst Park, London",0,3
1995-1996,Wednesday 13 March 1996,Blackburn,Leeds,Premier League,"Ewood Park, Blackburn",1,0
1995-1996,Wednesday 13 March 1996,Liverpool,Wimbledon,Premier League,"Anfield, Liverpool",2,2
1995-1996,Tuesday 12 March 1996,Chelsea,Man City,Premier League,"Stamford Bridge, London",1,1
1995-1996,Saturday 9 March 1996,Aston Villa,QPR,Premier League,"Villa Park, Birmingham",4,2
1995-1996,Saturday 9 March 1996,Everton,Coventry,Premier League,"Goodison Park, Liverpool",2,2
1995-1996,Saturday 9 March 1996,West Ham,Middlesbrough,Premier League,"Boleyn Ground, London",2,0
1995-1996,Wednesday 6 March 1996,Aston Villa,Sheffield Wed,Premier League,"Villa Park, Birmingham",3,2
1995-1996,Wednesday 6 March 1996,QPR,Leeds,Premier League,"Loftus Road, London",1,2
1995-1996,Tuesday 5 March 1996,Arsenal,Man City,Premier League,"Highbury, London",3,1
1995-1996,Monday 4 March 1996,Newcastle,Man Utd,Premier League,"St. James' Park, Newcastle",0,1
1995-1996,Sunday 3 March 1996,Liverpool,Aston Villa,Premier League,"Anfield, Liverpool",3,0
1995-1996,Saturday 2 March 1996,Coventry,West Ham,Premier League,"Highfield Road, Coventry",2,2
1995-1996,Saturday 2 March 1996,Leeds,Bolton,Premier League,"Elland Road, Leeds",0,1
1995-1996,Saturday 2 March 1996,Man City,Blackburn,Premier League,"Maine Road, Manchester",1,1
1995-1996,Saturday 2 March 1996,Middlesbrough,Everton,Premier League,"Riverside Stadium, Middlesbrough",0,2
1995-1996,Saturday 2 March 1996,QPR,Arsenal,Premier League,"Loftus Road, London",1,1
1995-1996,Saturday 2 March 1996,Sheffield Wed,Nott'm Forest,Premier League,"Hillsborough, Sheffield",1,3
1995-1996,Saturday 2 March 1996,Spurs,Southampton,Premier League,"White Hart Lane, London",1,0
1995-1996,Saturday 2 March 1996,Wimbledon,Chelsea,Premier League,"Selhurst Park, London",1,1
1995-1996,Wednesday 28 February 1996,Aston Villa,Blackburn,Premier League,"Villa Park, Birmingham",2,0
1995-1996,Sunday 25 February 1996,Bolton,Man Utd,Premier League,"Burnden Park, Bolton",0,6
1995-1996,Saturday 24 February 1996,Blackburn,Liverpool,Premier League,"Ewood Park, Blackburn",2,3
1995-1996,Saturday 24 February 1996,Coventry,Middlesbrough,Premier League,"Highfield Road, Coventry",0,0
1995-1996,Saturday 24 February 1996,Everton,Nott'm Forest,Premier League,"Goodison Park, Liverpool",3,0
1995-1996,Saturday 24 February 1996,Man City,Newcastle,Premier League,"Maine Road, Manchester",3,3
1995-1996,Saturday 24 February 1996,Southampton,Chelsea,Premier League,"The Dell, Southampton",2,3
1995-1996,Saturday 24 February 1996,Spurs,Sheffield Wed,Premier League,"White Hart Lane, London",1,0
1995-1996,Saturday 24 February 1996,West Ham,Arsenal,Premier League,"Boleyn Ground, London",0,1
1995-1996,Saturday 24 February 1996,Wimbledon,Aston Villa,Premier League,"Selhurst Park, London",3,3
1995-1996,Wednesday 21 February 1996,West Ham,Newcastle,Premier League,"Boleyn Ground, London",2,0
1995-1996,Wednesday 21 February 1996,Man Utd,Everton,Premier League,"Old Trafford, Manchester",2,0
1995-1996,Saturday 17 February 1996,Chelsea,West Ham,Premier League,"Stamford Bridge, London",1,2
1995-1996,Saturday 17 February 1996,Middlesbrough,Bolton,Premier League,"Riverside Stadium, Middlesbrough",1,4
1995-1996,Saturday 17 February 1996,Sheffield Wed,QPR,Premier League,"Hillsborough, Sheffield",1,3
1995-1996,Monday 12 February 1996,Spurs,West Ham,Premier League,"White Hart Lane, London",0,1
1995-1996,Sunday 11 February 1996,QPR,Liverpool,Premier League,"Loftus Road, London",1,2
1995-1996,Saturday 10 February 1996,Bolton,Aston Villa,Premier League,"Burnden Park, Bolton",0,2
1995-1996,Saturday 10 February 1996,Coventry,Chelsea,Premier League,"Highfield Road, Coventry",1,0
1995-1996,Saturday 10 February 1996,Everton,Man City,Premier League,"Goodison Park, Liverpool",2,0
1995-1996,Saturday 10 February 1996,Man Utd,Blackburn,Premier League,"Old Trafford, Manchester",1,0
1995-1996,Saturday 10 February 1996,Middlesbrough,Newcastle,Premier League,"Riverside Stadium, Middlesbrough",1,2
1995-1996,Saturday 10 February 1996,Nott'm Forest,Arsenal,Premier League,"City Ground, Nottingham",0,1
1995-1996,Saturday 10 February 1996,Sheffield Wed,Wimbledon,Premier League,"Hillsborough, Sheffield",2,1
1995-1996,Sunday 4 February 1996,Chelsea,Middlesbrough,Premier League,"Stamford Bridge, London",5,0
